Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;Name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountPathLog;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots;RatioCommentToCode;EdgeCoverage;PrimePathCoverage;
org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean);16;47;3;24;11;17;20;13;4;1;11;14;6;8;3;3;3;1;0;0;1;0;0.83;org.jfree.chart.plot.CategoryPlotTest.test1654215();2;21;0;17;8;13;4;10;2;0;9;11;6;5;2;2;2;1;1;0;1;0;0.24;0,6667;0,2500;
org.jfree.chart.JFreeChart.draw(Graphics2D,Rectangle2D,Point2D,ChartRenderingInfo);58;120;14;89;21;71;17;43;6912;4;43;59;16;43;16;16;20;1;0;0;3;0;0.19;org.jfree.chart.plot.CategoryPlotTest.test1654215();2;21;0;17;8;13;4;10;2;0;9;11;6;5;2;2;2;1;1;0;1;0;0.24;0,4235;0,0009;
org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,boolean);10;31;1;16;5;11;14;12;4;1;8;11;3;8;3;3;3;1;0;0;1;0;0.88;org.jfree.chart.plot.PiePlotTest.testDrawWithNullLegendLabels();1;25;0;22;9;18;3;10;2;0;14;16;7;9;2;2;2;1;1;0;1;0;0.14;0,6667;0,2500;
org.jfree.chart.JFreeChart.draw(Graphics2D,Rectangle2D,Point2D,ChartRenderingInfo);58;120;14;89;21;71;17;43;6912;4;43;59;16;43;16;16;20;1;0;0;3;0;0.19;org.jfree.chart.plot.PiePlotTest.testDrawWithNullLegendLabels();1;25;0;22;9;18;3;10;2;0;14;16;7;9;2;2;2;1;1;0;1;0;0.14;0,4235;0,0009;
org.jfree.chart.plot.PiePlot.setLegendLabelGenerator(PieSectionLabelGenerator);4;13;0;5;1;3;8;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;1.60;org.jfree.chart.plot.PiePlotTest.testDrawWithNullLegendLabels();1;25;0;22;9;18;3;10;2;0;14;16;7;9;2;2;2;1;1;0;1;0;0.14;1,0000;1,0000;
org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,boolean);10;31;1;16;5;11;14;12;4;1;8;11;3;8;3;3;3;1;0;0;1;0;0.88;org.jfree.chart.plot.MultiplePiePlotTest.testEquals();3;43;6;34;3;32;3;12;1;0;28;29;3;26;1;1;1;1;0;0;0;0;0.09;1,0000;0,5000;
org.jfree.chart.plot.MultiplePiePlot.equals(Object);9;41;0;32;2;21;9;6;10;1;11;21;2;19;10;10;10;10;9;9;1;9;0.28;org.jfree.chart.plot.MultiplePiePlotTest.testEquals();3;43;6;34;3;32;3;12;1;0;28;29;3;26;1;1;1;1;0;0;0;0;0.09;0,8500;0,7000;
org.jfree.chart.plot.MultiplePiePlot.setAggregatedItemsKey(Comparable);2;13;0;5;1;3;8;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;1.60;org.jfree.chart.plot.MultiplePiePlotTest.testEquals();3;43;6;34;3;32;3;12;1;0;28;29;3;26;1;1;1;1;0;0;0;0;0.09;1,0000;1,0000;
org.jfree.chart.plot.MultiplePiePlot.setAggregatedItemsPaint(Paint);3;13;0;5;1;3;8;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;1.60;org.jfree.chart.plot.MultiplePiePlotTest.testEquals();3;43;6;34;3;32;3;12;1;0;28;29;3;26;1;1;1;1;0;0;0;0;0.09;1,0000;1,0000;
org.jfree.chart.plot.MultiplePiePlot.setDataExtractOrder(TableOrder);4;11;0;5;1;3;6;3;1;0;3;4;1;3;1;1;1;1;0;0;0;0;1.20;org.jfree.chart.plot.MultiplePiePlotTest.testEquals();3;43;6;34;3;32;3;12;1;0;28;29;3;26;1;1;1;1;0;0;0;0;0.09;1,0000;1,0000;
