Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Abstract Method,org.apache.maven.ArtifactFilterManager.excludeArtifact(String),0,7,0,1,1,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.00
Abstract Method,org.apache.maven.ArtifactFilterManager.getArtifactFilter(),0,7,0,1,1,0,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.00
Abstract Method,org.apache.maven.ArtifactFilterManager.getCoreArtifactExcludes(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Abstract Method,org.apache.maven.ArtifactFilterManager.getCoreArtifactFilter(),0,4,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.00
Abstract Method,org.apache.maven.ArtifactFilterManagerDelegate.addCoreExcludes(Set<String>),1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Abstract Method,org.apache.maven.ArtifactFilterManagerDelegate.addExcludes(Set<String>),1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Public Constructor,org.apache.maven.BuildAbort.BuildAbort(String),1,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,"org.apache.maven.BuildAbort.BuildAbort(String,Throwable)",2,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.maven.BuildFailureException.BuildFailureException(String),2,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,"org.apache.maven.BuildFailureException.BuildFailureException(String,Throwable)",4,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,"org.apache.maven.DefaultArtifactFilterManager.DefaultArtifactFilterManager(List<ArtifactFilterManagerDelegate>,CoreExportsProvider)",2,6,0,6,2,2,0,5,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.DefaultArtifactFilterManager.excludeArtifact(String),1,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.DefaultArtifactFilterManager.getArtifactFilter(),1,16,2,9,2,4,5,4,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.56
Public Method,org.apache.maven.DefaultArtifactFilterManager.getCoreArtifactExcludes(),3,11,2,9,2,4,0,2,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.maven.DefaultArtifactFilterManager.getCoreArtifactFilter(),0,9,0,4,1,1,5,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.25
Private Method,org.apache.maven.DefaultArtifactFilterManager.getExcludedArtifacts(),4,8,0,8,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,0,1,0,0.00
Private Method,"org.apache.maven.DefaultMaven.addExceptionToResult(MavenExecutionResult,Throwable)",5,9,1,8,1,3,0,4,2,0,2,4,1,3,2,2,2,1,0,0,1,0,0.00
Private Method,"org.apache.maven.DefaultMaven.afterSessionEnd(Collection<MavenProject>,MavenSession)",3,18,1,17,3,7,0,7,2,0,4,8,3,5,2,2,2,1,0,0,2,0,0.00
Private Method,"org.apache.maven.DefaultMaven.buildGraph(MavenSession,MavenExecutionResult)",5,25,2,23,3,12,0,14,6,1,8,13,4,9,4,4,4,1,1,0,2,0,0.00
Private Method,org.apache.maven.DefaultMaven.doExecute(MavenExecutionRequest),7,38,6,27,5,15,5,10,2,0,11,14,4,10,2,2,2,1,2,0,1,0,0.19
Private Method,"org.apache.maven.DefaultMaven.doExecute(MavenExecutionRequest,MavenSession,MavenExecutionResult,DefaultRepositorySystemSession)",16,128,20,91,5,48,17,38,29,1,29,44,6,38,12,12,12,10,22,13,2,13,0.19
Public Method,org.apache.maven.DefaultMaven.execute(MavenExecutionRequest),4,32,2,29,2,13,1,6,4,1,7,10,2,8,4,4,4,1,4,0,2,0,0.03
Private Method,org.apache.maven.DefaultMaven.getLifecycleParticipants(Collection<MavenProject>),8,46,6,38,5,19,2,10,8,1,11,18,6,12,5,5,6,1,2,0,4,0,0.05
Protected Method,org.apache.maven.DefaultMaven.getLogger(),1,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Method,org.apache.maven.DefaultMaven.getProjectMap(Collection<MavenProject>),2,41,6,35,7,19,0,12,8,1,11,17,7,10,5,5,5,1,2,0,3,0,0.00
Public Method,org.apache.maven.DefaultMaven.newRepositorySession(MavenExecutionRequest),3,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Method,"org.apache.maven.DefaultMaven.validateActivatedProfiles(List<MavenProject>,List<String>)",4,18,2,16,2,7,0,4,6,1,3,10,5,5,4,4,4,1,0,0,2,0,0.00
Private Method,org.apache.maven.DefaultMaven.validateLocalRepository(MavenExecutionRequest),3,14,3,11,3,5,0,5,2,0,4,6,2,4,2,2,2,1,0,0,1,0,0.00
Private Method,org.apache.maven.DefaultMaven.validatePrerequisitesForNonMavenPluginProjects(List<MavenProject>),3,18,0,18,2,9,1,6,4,1,2,7,3,4,4,4,5,1,0,0,3,0,0.06
Protected Method,org.apache.maven.DefaultMavenTest.getProjectsDirectory(),0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.maven.DefaultMavenTest.testThatErrorDuringProjectDependencyGraphCreationAreStored(),1,10,2,8,5,4,0,11,1,0,4,5,4,1,1,1,1,1,0,0,0,0,0.00
Private Method,org.apache.maven.DefaultProjectDependenciesResolver.getIgnorableArtifacts(Collection<? extends MavenProject>),2,11,1,10,3,5,0,7,2,0,4,7,4,3,2,2,2,1,0,0,1,0,0.00
Private Method,org.apache.maven.DefaultProjectDependenciesResolver.getIgnorableArtifacts(Iterable<Artifact>),1,11,1,10,3,5,0,3,2,0,4,7,4,3,2,2,2,1,0,0,1,0,0.00
Public Method,"org.apache.maven.DefaultProjectDependenciesResolver.resolve(Collection<? extends MavenProject>,Collection<String>,MavenSession)",3,6,0,6,3,1,0,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.DefaultProjectDependenciesResolver.resolve(MavenProject,Collection<String>,Collection<String>,MavenSession)",4,8,0,8,4,3,0,4,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.DefaultProjectDependenciesResolver.resolve(MavenProject,Collection<String>,Collection<String>,MavenSession,Set<Artifact>)",5,8,0,8,4,2,0,4,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.maven.DefaultProjectDependenciesResolver.resolve(MavenProject,Collection<String>,MavenSession)",3,5,0,5,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Method,"org.apache.maven.DefaultProjectDependenciesResolver.resolveImpl(Collection<? extends MavenProject>,Collection<String>,Collection<String>,MavenSession,Set<String>)",11,102,20,57,12,34,25,41,10,1,24,32,10,22,8,8,12,3,3,2,4,2,0.44
Public Constructor,"org.apache.maven.DuplicateProjectException.DuplicateProjectException(String,Map<String,List>)",3,12,1,5,1,2,6,3,1,0,2,3,1,2,2,2,2,1,0,0,0,0,1.20
Public Method,org.apache.maven.DuplicateProjectException.getCollisions(),1,9,0,4,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.25
Public Constructor,"org.apache.maven.InternalErrorException.InternalErrorException(String,Throwable)",3,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Abstract Method,org.apache.maven.Maven.execute(MavenExecutionRequest),4,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Public Constructor,"org.apache.maven.MavenExecutionException.MavenExecutionException(String,File)",7,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
