Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Method,"org.apache.tika.MultiThreadedTikaTest.testDetector(Detector,int,int,FileFilter,int)",8,5,0,5,2,3,0,3,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Method,"org.apache.tika.MultiThreadedTikaTest.testDetectorEach(Detector,Path[],int,int,int)",6,7,0,7,2,4,0,1,2,0,3,6,3,3,2,2,2,1,0,0,1,0,0.00
Private Method,"org.apache.tika.MultiThreadedTikaTest.testDetectorOnAll(Detector,Path[],int,int,int)",7,21,0,19,6,14,2,7,3,0,10,15,7,8,4,4,4,1,1,0,1,0,0.11
Protected Method,"org.apache.tika.MultiThreadedTikaTest.testEach(Parser,Path[],ParseContext[],int,int)",6,21,0,7,2,4,14,1,2,0,3,6,3,3,2,2,2,1,0,0,1,0,2.00
Protected Method,"org.apache.tika.MultiThreadedTikaTest.testMultiThreaded(Parser,ParseContext[],int,int,FileFilter)",12,15,0,5,2,3,10,3,1,0,3,4,2,2,1,1,1,1,0,0,0,0,2.00
Public Constructor,org.apache.tika.ResourceLoggingClassLoader.ResourceLoggingClassLoader(ClassLoader),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Private Method,org.apache.tika.ResourceLoggingClassLoader.fetchRecord(String),4,8,0,8,2,5,0,3,2,0,4,6,2,4,2,2,2,1,0,0,1,0,0.00
Public Method,org.apache.tika.ResourceLoggingClassLoader.getLoadedResources(),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.ResourceLoggingClassLoader.getLoadedResources(String),2,5,0,5,2,3,0,4,2,0,3,5,2,3,2,2,2,1,1,0,1,0,0.00
Public Method,org.apache.tika.ResourceLoggingClassLoader.getResource(String),1,6,0,6,3,4,0,4,1,0,4,5,3,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.ResourceLoggingClassLoader.getResources(String),1,11,2,7,4,5,2,6,1,0,5,6,4,2,1,1,1,1,0,0,0,0,0.29
Public Method,org.apache.tika.ResourceLoggingClassLoader.resetLoadedResources(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
