,,,,,,,,,,,,,,,,,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FacebookExample.FacebookExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FacebookExample.main(String...),3,58,7,48,12,44,4,18,2,0,38,41,11,30,2,2,2,1,1,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FitbitApi20Example.FitbitApi20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FitbitApi20Example.main(String...),3,57,9,43,12,39,7,20,2,0,31,34,10,24,2,2,2,1,1,0,1,0,0.16
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FlickrExample.FlickrExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FlickrExample.main(String...),3,47,6,37,11,34,4,16,1,0,31,33,10,23,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Foursquare2Example.Foursquare2Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Foursquare2Example.main(String...),2,44,5,36,10,33,4,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FoursquareExample.FoursquareExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FoursquareExample.main(String...),2,41,5,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FrappeExample.FrappeExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FrappeExample.main(String...),3,45,4,37,11,34,6,17,1,0,29,31,10,21,1,1,1,1,0,0,1,0,0.16
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.FreelancerExample.FreelancerExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.FreelancerExample.main(String...),5,45,5,37,8,34,3,18,1,0,30,32,7,25,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.GeniusExample.GeniusExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.GeniusExample.main(String...),3,65,6,55,11,48,5,19,2,0,39,43,10,33,2,2,2,1,1,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.GitHubAsyncOkHttpExample.GitHubAsyncOkHttpExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.GitHubAsyncOkHttpExample.main(String...),3,60,5,52,10,47,4,20,2,0,37,41,10,31,2,2,2,1,1,0,2,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.GitHubExample.GitHubExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.GitHubExample.main(String...),3,56,5,48,12,44,4,18,2,0,38,41,11,30,2,2,2,1,1,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20ArmeriaExample.Google20ArmeriaExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20ArmeriaExample.main(String...),3,91,9,76,14,68,8,28,8,1,50,57,13,44,5,5,6,3,4,3,3,2,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20AsyncAHCExample.Google20AsyncAHCExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20AsyncAHCExample.main(String...),3,97,9,82,16,74,8,33,8,1,51,58,14,44,5,5,6,3,4,3,3,2,0.10
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20DeviceAuthorizationGrantExample.Google20DeviceAuthorizationGrantExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20DeviceAuthorizationGrantExample.main(String...),3,58,8,48,11,41,3,22,8,1,31,37,10,27,5,5,6,3,3,3,2,2,0.06
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20Example.Google20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20Example.main(String...),3,85,8,71,16,64,8,26,8,1,51,57,14,43,5,5,6,3,4,3,2,2,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20RevokeExample.Google20RevokeExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20RevokeExample.main(String...),3,83,5,70,15,64,10,26,2,0,53,57,13,44,3,3,3,1,1,0,2,0,0.14
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Google20WithPKCEExample.Google20WithPKCEExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Google20WithPKCEExample.main(String...),3,89,11,72,17,65,8,31,8,1,51,57,14,43,5,5,6,3,4,3,2,2,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.HHExample.HHExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.HHExample.main(String...),3,42,4,36,10,33,3,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.HiOrgServerExample.HiOrgServerExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.HiOrgServerExample.main(String...),6,64,7,54,12,50,3,21,2,0,43,46,11,35,2,2,2,1,1,0,1,0,0.06
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.ImgurExample.ImgurExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.ImgurExample.main(String...),3,43,4,35,10,32,4,15,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Kaixin20Example.Kaixin20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Kaixin20Example.main(String...),3,45,5,36,10,33,5,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.14
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.KakaoExample.KakaoExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.KakaoExample.main(String...),3,46,9,34,9,31,4,15,1,0,28,30,8,22,1,1,1,1,0,0,1,0,0.12
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.KeycloakExample.KeycloakExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.KeycloakExample.main(String...),1,51,7,41,14,38,3,17,1,0,33,35,13,22,1,1,1,1,0,0,1,0,0.07
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.LinkedIn20Example.LinkedIn20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.LinkedIn20Example.main(String...),4,58,7,49,12,45,4,19,1,0,39,42,11,31,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.LinkedInExample.LinkedInExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.LinkedInExample.main(String...),2,42,6,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.LinkedInExampleWithScopes.LinkedInExampleWithScopes(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.LinkedInExampleWithScopes.main(String...),2,46,7,35,10,32,4,15,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.LiveExample.LiveExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.LiveExample.main(String...),2,46,6,37,10,34,4,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MailruAsyncExample.MailruAsyncExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MailruAsyncExample.main(String...),3,56,8,46,10,42,3,24,1,0,29,32,9,23,1,1,1,1,0,0,2,0,0.07
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MailruExample.MailruExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MailruExample.main(String...),3,44,6,36,10,33,3,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MediaWikiExample.MediaWikiExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MediaWikiExample.main(String...),4,43,7,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Meetup20Example.Meetup20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Meetup20Example.main(String...),3,45,6,36,11,33,5,18,1,0,28,30,10,20,1,1,1,1,0,0,1,0,0.14
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MeetupExample.MeetupExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MeetupExample.main(String...),2,42,6,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MicrosoftAzureActiveDirectory20Example.MicrosoftAzureActiveDirectory20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MicrosoftAzureActiveDirectory20Example.main(String...),3,40,0,37,10,34,4,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MicrosoftAzureActiveDirectoryExample.MicrosoftAzureActiveDirectoryExample(),0,3,1,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MicrosoftAzureActiveDirectoryExample.main(String...),3,45,5,37,10,34,4,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.MisfitExample.MisfitExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.MisfitExample.main(String...),3,46,5,37,10,34,5,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.14
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.NaverExample.NaverExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.NaverExample.main(String...),3,59,8,48,12,44,4,18,2,0,38,41,11,30,2,2,2,1,1,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.OdnoklassnikiExample.OdnoklassnikiExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.OdnoklassnikiExample.main(String...),3,53,8,42,11,39,4,19,1,0,35,37,10,27,1,1,1,1,0,0,1,0,0.10
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.PinterestExample.PinterestExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.PinterestExample.main(String...),2,46,6,37,10,34,4,17,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.PolarAPIExample.PolarAPIExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.PolarAPIExample.main(String...),3,58,9,45,14,41,4,20,2,0,33,36,12,24,2,2,2,1,1,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Px500Example.Px500Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Px500Example.main(String...),2,43,7,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.RenrenExample.RenrenExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.RenrenExample.main(String...),4,67,8,56,14,51,4,30,4,1,44,50,15,35,3,3,3,1,0,0,1,0,0.07
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.RenrenExample.md5(String),3,13,0,13,4,9,0,7,3,0,6,10,5,5,3,3,3,1,1,0,2,0,0.00
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SalesforceExample.SalesforceExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SalesforceExample.main(String...),2,76,13,49,14,41,15,20,2,0,36,40,12,28,2,2,2,1,1,0,1,0,0.31
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SalesforceNingAsyncExample.SalesforceNingAsyncExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SalesforceNingAsyncExample.main(String...),2,70,4,58,14,49,9,27,2,0,35,40,12,28,2,2,2,1,1,0,2,0,0.16
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SinaWeibo2Example.SinaWeibo2Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SinaWeibo2Example.main(String...),3,46,6,36,10,33,5,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.14
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SinaWeiboExample.SinaWeiboExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SinaWeiboExample.main(String...),3,50,6,39,11,36,5,17,1,0,33,35,10,25,1,1,1,1,0,0,1,0,0.13
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SkyrockExample.SkyrockExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SkyrockExample.main(String...),2,44,7,34,8,31,3,16,1,0,28,30,7,23,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.SlackExample.SlackExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.SlackExample.main(String...),9,69,10,56,14,52,4,24,1,0,44,47,12,35,1,1,1,1,0,0,1,0,0.07
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.StackExchangeExample.StackExchangeExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.StackExchangeExample.main(String...),3,63,7,51,15,47,6,18,2,0,40,43,13,30,2,2,2,1,1,0,1,0,0.12
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TheThingsNetworkV1StagingExample.TheThingsNetworkV1StagingExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TheThingsNetworkV1StagingExample.main(String...),3,71,10,56,13,51,6,20,4,1,43,47,12,35,3,3,3,1,2,0,2,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TheThingsNetworkV2PreviewExample.TheThingsNetworkV2PreviewExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TheThingsNetworkV2PreviewExample.main(String...),3,68,9,55,13,50,5,19,4,1,42,46,12,34,3,3,3,1,2,0,2,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TrelloExample.TrelloExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TrelloExample.main(String...),4,41,5,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TumblrExample.TumblrExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TumblrExample.main(String...),2,43,5,34,8,31,5,16,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.15
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TutByExample.TutByExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TutByExample.main(String...),3,42,4,36,10,33,3,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.TwitterExample.TwitterExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.TwitterExample.main(String...),2,41,5,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.UcozExample.UcozExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.UcozExample.main(String...),2,36,2,32,8,29,2,17,1,0,25,27,7,20,1,1,1,1,0,0,1,0,0.06
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.ViadeoExample.ViadeoExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.ViadeoExample.main(String...),3,44,5,36,10,33,4,16,1,0,29,31,9,22,1,1,1,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.VkontakteClientCredentialsGrantExample.VkontakteClientCredentialsGrantExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.VkontakteClientCredentialsGrantExample.main(String...),1,20,3,16,6,14,3,9,1,0,10,11,5,6,1,1,1,1,0,0,0,0,0.19
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.VkontakteExample.VkontakteExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.VkontakteExample.main(String...),3,52,4,45,13,41,5,22,2,0,31,34,10,24,2,2,2,1,0,0,1,0,0.11
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.VkontakteExternalHttpExample.VkontakteExternalHttpExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.VkontakteExternalHttpExample.main(String...),3,60,6,48,13,44,8,23,1,0,31,34,11,23,1,1,1,1,0,0,2,0,0.17
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.WunderlistExample.WunderlistExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.WunderlistExample.main(String...),3,48,4,40,11,35,5,17,1,0,31,34,10,24,1,1,1,1,0,0,1,0,0.13
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.XeroExample.XeroExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.XeroExample.main(String...),5,81,11,64,19,61,6,25,2,0,54,56,17,39,2,2,2,1,1,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.XingExample.XingExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.XingExample.main(String...),2,41,5,33,8,30,3,15,1,0,27,29,7,22,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.Yahoo20Example.Yahoo20Example(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.Yahoo20Example.main(String...),3,46,7,36,9,33,3,16,1,0,29,31,8,23,1,1,1,1,0,0,1,0,0.08
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.examples.YahooExample.YahooExample(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.examples.YahooExample.main(String...),2,43,6,34,8,31,3,16,1,0,28,30,7,23,1,1,1,1,0,0,1,0,0.09
,,,,,,,,,,,,,,,,,Public Constructor,"com.github.scribejava.apis.facebook.FacebookAccessTokenErrorResponse.FacebookAccessTokenErrorResponse(String,String,int,String,Response)",6,8,0,8,2,5,0,6,1,0,5,6,1,5,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Constructor,"com.github.scribejava.apis.facebook.FacebookAccessTokenErrorResponse.FacebookAccessTokenErrorResponse(String,String,int,String,String)",5,15,0,4,2,1,11,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.75
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.facebook.FacebookAccessTokenErrorResponse.equals(Object),5,25,0,25,2,16,0,8,8,1,9,17,2,15,8,8,8,8,7,7,1,7,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.facebook.FacebookAccessTokenErrorResponse.getCodeInt(),3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
