,,,,,,,,,,,,,,,,,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.DiscordApi.DiscordApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.DiscordApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.DiscordApi.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.DiscordApi.getRevokeTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.DiscordApi.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.DoktornaraboteApi.DoktornaraboteApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.DoktornaraboteApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.DoktornaraboteApi.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.DoktornaraboteApi.instance(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.DropboxApi.DropboxApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.DropboxApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.DropboxApi.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.DropboxApi.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
