Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Method,org.apache.commons.collections4.AbstractObjectTest.testObjectEqualsSelf(),0,4,0,4,2,2,0,2,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractObjectTest.testObjectHashCodeEqualsContract(),0,17,0,17,3,13,0,5,4,1,5,8,3,5,3,3,3,1,0,0,1,0,0.00
Public Method,org.apache.commons.collections4.AbstractObjectTest.testObjectHashCodeEqualsSelfHashCode(),0,4,0,4,2,2,0,3,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractObjectTest.testSerializeDeserializeThenCompare(),0,9,0,9,3,5,0,5,3,0,3,6,3,3,3,3,4,1,0,0,2,0,0.00
Public Method,org.apache.commons.collections4.AbstractObjectTest.testSimpleSerialization(),0,15,0,7,3,4,8,4,2,0,3,5,3,2,2,2,3,1,0,0,1,0,1.14
Protected Method,org.apache.commons.collections4.AbstractObjectTest.writeExternalFormToBytes(Serializable),6,13,0,5,2,3,8,4,1,0,3,4,2,2,1,1,1,1,0,0,0,0,1.60
Protected Method,"org.apache.commons.collections4.AbstractObjectTest.writeExternalFormToDisk(Serializable,String)",4,20,0,8,2,5,12,3,1,0,3,5,2,3,1,1,1,1,0,0,1,0,1.50
Private Method,"org.apache.commons.collections4.AbstractObjectTest.writeExternalFormToStream(Serializable,OutputStream)",4,4,0,4,2,2,0,2,1,0,2,3,2,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.commons.collections4.AbstractTreeMapTest.AbstractTreeMapTest(String),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractTreeMapTest.isAllowNullKey(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Abstract Method,org.apache.commons.collections4.AbstractTreeMapTest.makeObject(),2,4,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.00
Public Method,org.apache.commons.collections4.AbstractTreeMapTest.testNewMap(),0,5,0,5,2,3,0,5,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.AbstractTreeMapTest.testSearch(),0,9,0,9,2,7,0,4,1,0,5,6,2,4,1,1,1,1,0,0,0,0,0.00
Public Constructor,org.apache.commons.collections4.ArrayStack.ArrayStack(),1,7,0,3,1,1,4,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.33
Public Constructor,org.apache.commons.collections4.ArrayStack.ArrayStack(int),1,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.apache.commons.collections4.ArrayStack.empty(),2,11,0,3,1,1,8,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,org.apache.commons.collections4.ArrayStack.peek(),2,13,0,7,2,4,6,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.86
Public Method,org.apache.commons.collections4.ArrayStack.peek(int),1,16,0,7,2,4,9,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,1.29
Public Method,org.apache.commons.collections4.ArrayStack.pop(),2,13,0,7,2,4,6,4,2,0,3,5,2,3,2,2,2,1,0,0,1,0,0.86
Public Method,org.apache.commons.collections4.ArrayStack.push(E),3,11,0,4,1,2,7,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,1.75
Public Method,org.apache.commons.collections4.ArrayStack.search(Object),2,25,0,14,4,10,13,4,3,0,7,10,4,6,3,3,6,3,3,3,2,3,0.93
Public Constructor,org.apache.commons.collections4.ArrayStackTest.ArrayStackTest(String),1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ArrayStackTest.getCompatibilityVersion(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ArrayStackTest.makeObject(),3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,org.apache.commons.collections4.ArrayStackTest.suite(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ArrayStackTest.testNewStack(),0,20,3,15,2,11,2,8,4,1,7,10,2,8,3,3,3,1,2,0,1,0,0.13
Public Method,org.apache.commons.collections4.ArrayStackTest.testPushPeekPop(),0,27,5,22,2,20,0,8,1,0,15,16,2,14,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ArrayStackTest.testSearch(),0,13,2,11,2,9,0,4,1,0,6,7,2,5,1,1,1,1,0,0,0,0,0.00
Static Method,"org.apache.commons.collections4.ArrayUtils.contains(Object[],Object)",4,18,0,3,1,1,15,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,5.00
Static Method,"org.apache.commons.collections4.ArrayUtils.indexOf(Object[],Object,int)",6,45,0,22,1,13,23,2,13,1,9,17,3,14,8,8,8,7,10,10,3,10,1.05
Static Generic Method,"org.apache.commons.collections4.ArrayUtils.indexOf(T[],Object)",3,19,0,3,1,1,16,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,5.33
Abstract Method,org.apache.commons.collections4.Bag.add(E),30,19,0,1,1,0,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,18.00
Abstract Method,"org.apache.commons.collections4.Bag.add(E,int)",14,13,0,1,1,0,12,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12.00
Abstract Method,org.apache.commons.collections4.Bag.containsAll(Collection<?>),1,19,0,1,1,0,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,18.00
Abstract Method,org.apache.commons.collections4.Bag.getCount(Object),15,9,0,1,1,0,8,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.00
Abstract Method,org.apache.commons.collections4.Bag.iterator(),8,8,0,1,1,0,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7.00
Abstract Method,org.apache.commons.collections4.Bag.remove(Object),8,16,0,1,1,0,15,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,15.00
Abstract Method,"org.apache.commons.collections4.Bag.remove(Object,int)",6,12,0,1,1,0,11,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11.00
Abstract Method,org.apache.commons.collections4.Bag.removeAll(Collection<?>),3,19,0,1,1,0,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,18.00
Abstract Method,org.apache.commons.collections4.Bag.retainAll(Collection<?>),3,22,0,1,1,0,21,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,21.00
Abstract Method,org.apache.commons.collections4.Bag.size(),23,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Abstract Method,org.apache.commons.collections4.Bag.uniqueSet(),11,9,0,1,1,0,8,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.00
Private Constructor,org.apache.commons.collections4.BagUtils.BagUtils(),0,4,0,1,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,org.apache.commons.collections4.BagUtils.collectionBag(Bag<E>),1,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,org.apache.commons.collections4.BagUtils.emptyBag(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Static Generic Method,org.apache.commons.collections4.BagUtils.emptySortedBag(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Static Generic Method,"org.apache.commons.collections4.BagUtils.predicatedBag(Bag<E>,Predicate<? super E>)",3,19,0,3,1,1,16,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,5.33
Public Static Generic Method,"org.apache.commons.collections4.BagUtils.predicatedSortedBag(SortedBag<E>,Predicate<? super E>)",3,21,0,4,2,1,17,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.25
Public Static Generic Method,org.apache.commons.collections4.BagUtils.synchronizedBag(Bag<E>),2,30,0,3,1,1,27,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,9.00
Public Static Generic Method,org.apache.commons.collections4.BagUtils.synchronizedSortedBag(SortedBag<E>),2,30,0,3,1,1,27,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,9.00
Public Static Generic Method,"org.apache.commons.collections4.BagUtils.transformingBag(Bag<E>,Transformer<? super E,? extends E>)",3,21,0,3,1,1,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,6.00
Public Static Generic Method,"org.apache.commons.collections4.BagUtils.transformingSortedBag(SortedBag<E>,Transformer<? super E,? extends E>)",3,23,0,4,2,1,19,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.75
Public Static Generic Method,org.apache.commons.collections4.BagUtils.unmodifiableBag(Bag<? extends E>),2,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,org.apache.commons.collections4.BagUtils.unmodifiableSortedBag(SortedBag<E>),2,13,0,3,1,1,10,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.33
Public Method,org.apache.commons.collections4.BagUtilsTest.testPredicatedBag(),1,17,0,15,2,11,2,4,4,1,6,9,2,7,3,3,3,1,2,0,1,0,0.13
Public Method,org.apache.commons.collections4.BagUtilsTest.testPredicatedSortedBag(),1,17,0,15,2,11,2,4,4,1,6,9,2,7,3,3,3,1,2,0,1,0,0.13
Public Method,org.apache.commons.collections4.BagUtilsTest.testSynchronizedBag(),0,11,0,10,2,7,1,4,2,0,4,6,2,4,2,2,2,1,1,0,1,0,0.10
Public Method,org.apache.commons.collections4.BagUtilsTest.testSynchronizedSortedBag(),0,11,0,10,2,7,1,4,2,0,4,6,2,4,2,2,2,1,1,0,1,0,0.10
Public Method,org.apache.commons.collections4.BagUtilsTest.testTransformedBag(),1,17,0,15,2,11,2,4,4,1,6,9,2,7,3,3,3,1,2,0,1,0,0.13
Public Method,org.apache.commons.collections4.BagUtilsTest.testTransformedSortedBag(),1,17,0,15,2,11,2,4,4,1,6,9,2,7,3,3,3,1,2,0,1,0,0.13
Public Method,org.apache.commons.collections4.BagUtilsTest.testUnmodifiableBag(),0,13,1,11,2,8,1,5,2,0,5,7,2,5,2,2,2,1,1,0,1,0,0.09
Public Method,org.apache.commons.collections4.BagUtilsTest.testUnmodifiableSortedBag(),0,13,1,11,2,8,1,5,2,0,5,7,2,5,2,2,2,1,1,0,1,0,0.09
Abstract Method,org.apache.commons.collections4.BidiMap.getKey(Object),6,19,0,1,1,0,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,18.00
Abstract Method,org.apache.commons.collections4.BidiMap.inverseBidiMap(),15,15,0,1,1,0,14,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14.00
Abstract Method,"org.apache.commons.collections4.BidiMap.put(K,V)",1,30,0,1,1,0,29,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,29.00
Abstract Method,org.apache.commons.collections4.BidiMap.removeValue(Object),3,22,0,1,1,0,21,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,21.00
Abstract Method,org.apache.commons.collections4.BidiMap.values(),1,15,0,1,1,0,14,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14.00
Abstract Method,org.apache.commons.collections4.BoundedCollection.isFull(),2,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Abstract Method,org.apache.commons.collections4.BoundedCollection.maxSize(),2,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Abstract Method,org.apache.commons.collections4.BoundedMap.isFull(),0,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Abstract Method,org.apache.commons.collections4.BoundedMap.maxSize(),0,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Public Constructor,org.apache.commons.collections4.BulkTest.BulkTest(String),4,10,0,4,1,2,6,4,1,0,2,3,1,2,1,1,1,1,0,0,0,0,1.50
Public Method,org.apache.commons.collections4.BulkTest.clone(),1,12,0,7,1,4,6,3,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.86
Public Method,org.apache.commons.collections4.BulkTest.ignoredTests(),1,36,0,3,1,1,33,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,11.00
Public Static Method,org.apache.commons.collections4.BulkTest.makeSuite(Class<? extends BulkTest>),57,24,0,9,1,5,15,7,4,1,3,6,1,5,3,3,3,1,0,0,1,0,1.67
Public Method,org.apache.commons.collections4.BulkTest.toString(),1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Constructor,org.apache.commons.collections4.BulkTestSuiteMaker.BulkTestSuiteMaker(Class<? extends BulkTest>),2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Method,"org.apache.commons.collections4.BulkTestSuiteMaker.addBulk(BulkTest,Method)",8,45,6,28,5,22,13,11,5,1,18,22,5,17,5,5,5,5,7,7,2,7,0.46
Method,"org.apache.commons.collections4.BulkTestSuiteMaker.addTest(BulkTest,Method)",7,17,0,9,2,6,8,6,2,0,5,7,2,5,2,2,2,1,1,0,1,0,0.89
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.getBaseName(Class<?>),2,14,0,8,3,5,6,4,2,0,4,6,3,3,2,2,2,1,0,0,1,0,0.75
Private Static Generic Method,org.apache.commons.collections4.BulkTestSuiteMaker.getTestCaseConstructor(Class<T>),2,7,0,7,1,4,0,3,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.isBulk(Method),3,22,0,19,2,12,3,8,6,1,7,13,2,11,6,6,6,6,5,5,1,5,0.16
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.isTest(Method),5,22,0,19,2,12,3,8,6,1,7,13,2,11,6,6,6,6,5,5,1,5,0.16
Public Method,org.apache.commons.collections4.BulkTestSuiteMaker.make(),5,19,1,13,3,10,5,12,2,0,9,11,3,8,2,2,2,1,0,0,1,0,0.38
Method,org.apache.commons.collections4.BulkTestSuiteMaker.make(BulkTest),3,19,0,12,3,7,7,6,5,1,4,9,4,5,4,4,4,1,0,0,2,0,0.58
Private Static Generic Method,org.apache.commons.collections4.BulkTestSuiteMaker.makeFirstTestCase(Class<T>),2,9,0,9,2,5,0,6,3,0,3,7,3,4,3,3,3,3,3,3,2,3,0.00
Private Static Generic Method,"org.apache.commons.collections4.BulkTestSuiteMaker.makeTestCase(Class<T>,Method)",4,13,0,13,2,10,3,7,4,1,6,8,2,6,4,4,4,4,6,6,1,6,0.23
Abstract Method,org.apache.commons.collections4.Closure.execute(T),20,9,0,1,1,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.00
Private Constructor,org.apache.commons.collections4.ClosureUtils.ClosureUtils(),0,4,0,1,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.asClosure(Transformer<? super E,?>)",4,14,0,3,1,1,11,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.67
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.chainedClosure(Closure<? super E>...),2,15,0,3,1,1,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.chainedClosure(Collection<? extends Closure>),2,17,0,3,1,1,14,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.67
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.doWhileClosure(Closure<? super E>,Predicate<? super E>)",3,16,0,4,2,1,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.exceptionClosure(),1,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.forClosure(int,Closure<? super E>)",3,15,0,3,1,1,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.ifClosure(Predicate<? super E>,Closure<? super E>)",3,17,0,4,2,1,13,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.25
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.ifClosure(Predicate<? super E>,Closure<? super E>,Closure<? super E>)",4,18,0,5,3,1,13,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.60
