Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Abstract Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.MyAnnotation1.name(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Abstract Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.MyAnnotation1.version(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Abstract Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.MyAnnotation2.name(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Abstract Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.MyAnnotation2.version(),0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.OuterTypeFilenameTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.OuterTypeFilenameTest.testOuterTypeFilename1(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.OuterTypeFilenameTest.testOuterTypeFilename2(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.OuterTypeFilenameTest.testOuterTypeFilename3(),1,11,2,9,7,5,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.TestRequireThisEnum.DAY_OF_WEEK.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.TestRequireThisEnum.DAY_OF_WEEK.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.TestRequireThisEnum2.DAY_OF_WEEK.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule21filename.TestRequireThisEnum2.DAY_OF_WEEK.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.FileTabCharacterTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.FileTabCharacterTest.testFileTab(),0,19,2,17,15,13,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.ALL_UPPERCASE_METHOD(),0,4,0,3,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.33
Private Constructor,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.InputFileTabCharacter(),0,12,0,3,1,0,9,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Private Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.localVariables(),0,18,2,15,7,8,1,0,4,1,10,13,9,4,3,3,3,1,0,0,1,0,0.07
Private Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.longMethod(),0,22,0,3,1,0,19,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,6.33
Method,"com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.test1(int,int,int)",0,13,0,6,3,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.33
Method,"com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.toManyArgs(int,int,int,int,int,int,int,int,int)",0,7,0,4,2,0,3,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.75
Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.veryLong(),0,21,0,3,1,0,18,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,6.00
Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter.violateColumnAfterTabs(),0,12,0,9,7,6,8,0,1,0,6,7,7,0,1,1,1,1,0,0,0,0,0.89
Public Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputSimple2.doSomething(),0,9,1,6,1,1,2,0,2,0,0,3,2,1,2,2,2,1,0,0,1,0,0.33
Public Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.MyEnum1.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule231filetab.MyEnum1.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.IllegalTokenTextTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.IllegalTokenTextTest.testIllegalTokens(),0,73,3,70,68,66,0,4,1,0,6,7,6,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.(Anon_1).specialCharsWithWarn(),0,11,0,11,8,9,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.(Anon_1).specialCharsWithWarn2(),0,11,0,11,8,9,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.(Anon_1).specialCharsWithoutWarn(),0,11,0,11,8,9,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.(Anon_1).wrongEscapeSequences(),0,12,1,11,7,9,8,1,1,0,8,9,8,1,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.specialCharsWithWarn(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.specialCharsWithWarn2(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.specialCharsWithoutWarn(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.Inner.wrongEscapeSequences(),0,12,1,11,8,8,8,1,1,0,8,9,8,1,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.methodWithLiterals(),0,5,0,5,3,2,0,0,1,0,2,3,3,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.specialCharsWithWarn(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.specialCharsWithWarn2(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.specialCharsWithoutWarn(),0,11,0,11,9,8,8,0,1,0,8,9,9,0,1,1,1,1,0,0,0,0,0.73
Public Method,com.google.checkstyle.test.chapter2filebasic.rule232specialescape.InputIllegalTokenText.wrongEscapeSequences(),0,12,1,11,8,8,8,1,1,0,8,9,8,1,1,1,1,1,0,0,0,0,0.73
Protected Method,com.google.checkstyle.test.chapter2filebasic.rule233nonascii.AvoidEscapedUnicodeCharactersTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule233nonascii.AvoidEscapedUnicodeCharactersTest.testUnicodeEscapes(),1,16,2,14,12,10,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter2filebasic.rule233nonascii.InputAvoidEscapedUnicodeCharacters.fooChar(),0,7,0,7,4,4,3,1,1,0,4,5,4,1,1,1,1,1,0,0,0,0,0.43
Public Method,com.google.checkstyle.test.chapter2filebasic.rule233nonascii.InputAvoidEscapedUnicodeCharacters.fooString(),0,10,0,10,7,7,3,1,1,0,7,8,7,1,1,1,1,1,0,0,0,0,0.30
Public Method,com.google.checkstyle.test.chapter2filebasic.rule233nonascii.InputAvoidEscapedUnicodeCharacters.multiplyString(),0,7,0,7,5,4,4,0,1,0,4,5,5,0,1,1,1,1,0,0,0,0,0.57
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.InputLineLength.fooLongStringUrl(),0,24,3,21,9,17,12,2,1,0,8,9,5,4,1,1,1,1,0,0,0,0,0.57
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.InputLineLength.fooMethod(),0,4,0,1,1,0,3,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.InputLineLength.fooMethodLongFtp(),0,4,0,1,1,0,3,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.InputLineLength.processUrl(String),1,5,0,1,1,0,4,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,4.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.InputLineLength.processUrl(String[]),1,5,0,1,1,0,4,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,4.00
